timestamp,value,representation,battery_level,patient,Date,Time
2022-05-25 02:49:11,2,locked,1.0,U0691849531,2022-05-25,02:49:11
2022-05-25 02:58:56,3,unlocked,1.0,U0691849531,2022-05-25,02:58:56
2022-05-25 02:58:57,0,screen_on,1.0,U0691849531,2022-05-25,02:58:57
2022-05-25 03:00:45,1,screen_off,1.0,U0691849531,2022-05-25,03:00:45
2022-05-25 03:00:55,2,locked,1.0,U0691849531,2022-05-25,03:00:55
2022-05-25 03:04:22,3,unlocked,1.0,U0691849531,2022-05-25,03:04:22
2022-05-25 03:04:23,0,screen_on,1.0,U0691849531,2022-05-25,03:04:23
2022-05-25 03:13:22,1,screen_off,0.9700000286102296,U0691849531,2022-05-25,03:13:22
2022-05-25 04:27:14,2,locked,0.7699999809265137,U0691849531,2022-05-25,04:27:14
2022-05-25 04:30:17,3,unlocked,0.7699999809265137,U0691849531,2022-05-25,04:30:17
2022-05-25 04:30:18,1,screen_off,0.7699999809265137,U0691849531,2022-05-25,04:30:18
2022-05-25 04:33:05,2,locked,0.7599999904632568,U0691849531,2022-05-25,04:33:05
2022-05-25 04:33:18,3,unlocked,0.7599999904632568,U0691849531,2022-05-25,04:33:18
2022-05-25 04:33:19,1,screen_off,0.7599999904632568,U0691849531,2022-05-25,04:33:19
2022-05-25 04:34:56,2,locked,0.75,U0691849531,2022-05-25,04:34:56
2022-05-25 08:05:21,3,unlocked,0.6299999952316284,U0691849531,2022-05-25,08:05:21
2022-05-25 08:05:22,1,screen_off,0.6299999952316284,U0691849531,2022-05-25,08:05:22
2022-05-25 08:05:33,2,locked,0.6299999952316284,U0691849531,2022-05-25,08:05:33
2022-05-25 08:05:34,3,unlocked,0.6299999952316284,U0691849531,2022-05-25,08:05:34
2022-05-25 08:05:35,1,screen_off,0.6299999952316284,U0691849531,2022-05-25,08:05:35
2022-05-25 08:06:05,2,locked,0.6200000047683716,U0691849531,2022-05-25,08:06:05
2022-05-25 09:02:00,3,unlocked,0.5899999737739563,U0691849531,2022-05-25,09:02:00
